"orgname","codedef01","mission"
"PUERTO RICAN WOMENS COUNCIL FOUNDATION","Civil Rights, Social Action, Advocacy","To advance the interests of Puerto Rico via advocacy, education, fundraising  civil rights claims. To enhance the quality of life of Puerto Ricans  raise awareness of issues of interest.To empower women, promote clean energy  aid animals in/out PR"
"LOWER HUDSON COMMUNITY RESOURCE CENTER","Civil Rights, Social Action, Advocacy","Lower Hudson Community Resource Center, a nonprofit formed exclusively charitable, religious, and educational causes. The organization also focuses on defending human, civil rights, community beautification,  as well as outreach support for elderly."
"FRANKLIN COUNTY PRIDE INC ","Civil Rights, Social Action, Advocacy","Eliminating prejudice and discrimination and defending human civil rights re individuals who identity as lesbian, gay, transgender, intersex, asexual, ally, queer, or questioning."
"PROGRESSIVE SOCIAL NETWORK ","Civil Rights, Social Action, Advocacy","To further progressive ideals of equity, inclusion, and institutional accountability through direct action, policy initiatives, fosterimg civic engagement and acting as an information hub for individuals seeking to effect positive social change."
"EML NONPROFIT CONSULTING INC ","Civil Rights, Social Action, Advocacy","Social justice activism related to gun control and child sexual abuse issues"
"BRAZOSPORT LULAC COUNCIL 4655 ","Civil Rights, Social Action, Advocacy","The mission is to advance the economic condition, educational attainment, political influence, housing, health and civil rights of the Hispanic population of the United States."
"NATIONAL BLACK LEADERSHIP CAUCUS ","Civil Rights, Social Action, Advocacy","Promoting Social Justice and Economic Empowerment for People of Color"
"INCLUSION NEXTWORK INC ","Civil Rights, Social Action, Advocacy","To facilitate a community of practice for diversity  inclusion and social justice change makers to strengthen our community, drive innovation, and maximize our collective impact; and to engage in any other charitable purpose."
"CHRISTOPHER COLEMAN ","Civil Rights, Social Action, Advocacy","The mission is to provide support, education, and empowerment to the African American and people of color queer LGBTQ+ community here in Northwest Ohio and abroad."
"BLACK WAVE AMERICA INC ","Civil Rights, Social Action, Advocacy","The Black Wave advocates around issues impacting the Black LGBTQ community. Our mission is to ignite & build political power by engaging & educating government, business & community leaders to support our collective priorities."
"MCDONALDS OWNER-OPERATOR PRIDE NETWORK INC","Civil Rights, Social Action, Advocacy","SELF HELP ORGANIZATION THAT  CELEBRATES DIVERSITY AND INCLUSION, AND ACTS AS A RESOURCE FOR THE SUCCESS OF GAY, LESBIAN, BISEXUAL, AND TRANSGENDER OWNER/OPERATORS AND THE MCDONALD'S SYSTEM."
"LULAC EDUCATION COUNCIL 402 ","Civil Rights, Social Action, Advocacy","The Mission of the League of United Latin American Citizens is to advance the economic condition, educational attainment, political influence, housing, health and civil rights of the Hispanic population of the United States."
"DEAF COMMUNITY OF RIVERSIDE ","Civil Rights, Social Action, Advocacy","The DCR discuss issues of interest to the deaf and hard-of-hearing community and to propose or host activities that raise awareness of the deaf and promote programs that encourage inclusion and interaction in the life of the City."
"RAINBOW RUTHERFORD ASSOCIATION ","Civil Rights, Social Action, Advocacy","Our mission is to promote inclusion of the LGBTQIA community through education and support to both spectrum members and allies in our community."
"ENGAGING HUMANITY ","Civil Rights, Social Action, Advocacy","Engaging Humanity purpose is to identify social and humanitarian challenges within society and work to eliminate or bring change to protect individual's civil rights. We educate and raise social consciousness."
"ALTERNATIVE NEWSWEEKLY FOUNDATION ","Civil Rights, Social Action, Advocacy","To promote diversity and the recruitment, training and hiring of minorities by alternative newsweekly publications as well as supporting and promoting an alternative voice in journalism"
"SALINAS VALLEY PRIDE CELEBRATIONS ","Civil Rights, Social Action, Advocacy","SVPC is dedicated to providing LGBTQ awareness and visibility within the Salinas Valley. 

Our organization seeks to unite people of all ages, races, ethnicities, genders, and sexual identities in celebration of the diversity in these communities."
"BUILD OUT ALLIANCE INC ","Civil Rights, Social Action, Advocacy","A charitable organization dedicated to promoting diversity within the building design and construction industries by advocating for inclusion and support of the lesbian, gay, bisexual, transgender, and queer (LGBTQ) community."
"BURLINGTON PRIDE ","Civil Rights, Social Action, Advocacy","Our mission is to provide education, awareness, and inclusion for LGBTQ individuals, supporters, and allies, in order to create a community united by a common culture and collective strengths that celebrates pride, diversity, and individuality."
"FAYETTEVILLE PRIDE ","Civil Rights, Social Action, Advocacy","To instill PRIDE, celebrate unity, embrace diversity and inclusiveness in the Fayetteville area LGBTQ community and allies, and to provide a support network and educational advocacy group dedicated to increasing awareness and acceptance."
"SALT CITY PRIDE INC ","Civil Rights, Social Action, Advocacy","Salt City Pride's mission is to bring awareness and visibility through education and celebration of diversity to our community."
"MONTEREY PENINSULA PRIDE ","Civil Rights, Social Action, Advocacy","Monterey Peninsula Pride is dedicated to the advancement of, and the elimination of prejudice and discrimination against, persons of minority gender identities and sexual orientations in our community."
"SOCIETY OF LUCKY MOTHERS ","Civil Rights, Social Action, Advocacy","To create understanding and acceptance of lesbian, gay, bisexual, transgender, intersex and questioning  people.  To celebrate LGBTIG people.  To defend the human and civil rights of all sexual minorities."
"PFLAG LEONARDTOWN INC ","Civil Rights, Social Action, Advocacy","To hold/manage property/funds for charitable & eleemosynary purposes; provide support for families/friends of LGBTQIA+ individuals; provide education on the nature of LGBTQIA sexuality; support and advocacy for the full human rights and civil rights"
"MISSION FRIENDS FOR INCLUSION ","Civil Rights, Social Action, Advocacy","Advocating for the full inclusion of LGBTQ persons in the Evangelical Covenant Church."
"PHOENIX GAY FLAG FOOTBALL LEAGUE INC","Civil Rights, Social Action, Advocacy","To promote LGBTQ+ diversity in athletics through local teaching leagues and philanthropy.  To establish a scholarship for high school LGBTQ+ athletes.  To provide a safe and inclusive space for LGBTQ+ community members to grow and learn as athletes."
"PAYNE COUNTY PRIDE ASSOCIATION ","Civil Rights, Social Action, Advocacy","Payne County Pride Association aims to connect our community by promoting visibility, education, and diversity within the LBGTQ+ and the allied community, and by celebrating and supporting those individuals."
"PROJECT MORE FOUNDATION INC ","Civil Rights, Social Action, Advocacy","Project MORE strives to improve the quality of life of the LGBTQ+ community by empowering inclusion within a compassionate and safe environment through cultural activities, outreach, education, and advocacy."
"FIVE CITE DIVERSITY COALITION ","Civil Rights, Social Action, Advocacy","The Coalition seeks to provide programs and resources promoting the inclusion and affirmation of diversity in our community and countering any negative acts of prejudice or bias against its citizens."
"THE TRUTH TELLER INC ","Civil Rights, Social Action, Advocacy","TO SUPPORT AND UPLIFTS AT-RISK YOUTH (AFRICAN AMERICAN MALES MAINLY) BY IDENTIFYING AND CONFRONTING SOCIAL-ECONOMIC AND RACIAL DISPARITIES IN THE EDUCATIONAL AND CRIMINAL JUSTICE SYSTEMS THAT DISPROPORTIONATELY IMPACT THE AFRICAN AMERICAN COMMUNITY."
